id,name
292,SILUKO
293,SIO
294,SOUTH-IBIE
295,SPC
296,Specialist
297,ST. SAVIOUR
298,STANMARK
299,STEEL COMPANY 1
300,STEEL COMPANY 2
301,TOWNSHIP
302,TOWNSHIP-OKITIPUPA
303,UBEJI
304,UBIAJA
305,UBIAJA ROAD
306,UDU ROAD
307,UGBE
308,UGBOR
309,UGBORIKOKO
310,UGBOROKE
311,UGBOWO
312,UJAVUN TOWN
313,UJEMEN -COMMERCIAL
314,UMUNEDE
315,UMUTU
316,UniBen
317,UNIVERSITY
318,UPPER LAWANI
319,UPPER MISSION
320,UPPER OWINA
321,UPPER SAPELE
322,UPPER SILUKO
323,UPPER SOKPONBA
324,UROMI TOWN
325,USELU
326,USEN
327,Uteh 1
328,Uteh 2
329,UWANHUMI
330,UWELU
331,UZEBBA
332,UZERE
333,WARRAKE
334,WARRI
335,YABA-COMMERCIAL
